,Sample,Sampling_Site,Collection_Date,Absorbance,Alginate_Concentration_μg_mL,Extract_Solution_Volume_mL,Dillution_Rate,Yield_mg_300g,
,Sediment_300g,Off_Cape_Esan,2024-06,0.015,2.66,20,20,1.06,
,Sediment_300g,Off_Cape_Esan,2024-06,0.018,3.30,20,20,1.32,
,Sediment_300g,Off_Cape_Esan,2024-06,0.016,2.87,20,20,1.15,
,Sediment_300g,Hakodate_Bay,2024-06,0.020,3.72,50,20,3.51,
,Sediment_300g,Hakodate_Bay,2024-06,0.019,3.51,50,20,3.72,
,Sediment_300g,Funka_Bay,2024-08,0.014,2.45,20,20,0.98,
,Sediment_300g,Funka_Bay,2024-08,0.030,5.85,20,20,2.34,
,Sediment_300g,Funka_Bay,2024-08,0.014,2.45,20,20,0.98,
,Sediment_300g,Funka_Bay,2024-10,0.018,3.30,20,20,1.32,
,Sediment_300g,Funka_Bay,2024-10,0.010,1.60,20,20,0.64,
,Sediment_300g,Funka_Bay,2024-10,0.025,4.79,20,20,1.91,
,Sediment_450g,Off_Muroran,2025-02,0.026,5.00,20,100,6.67,
,Sediment_450g,Off_Muroran,2025-02,0.023,4.36,20,100,5.82,
,Sediment_450g,Off_Muroran,2025-02,0.023,4.36,20,100,5.82,
,Sediment_450g,Off_Muroran,2025-02,0.021,3.94,20,100,5.25,
,,,,,,,,,